FamilyMembers,TotalPower,Season,HouseType,Sqft,Units
6,6090,Rainy,Flat,452,489.47
4,14045,Rainy,House,419,2368.3
6,17885,Rainy,Flat,8185,35859.61
3,23200,Summer,House,5990,36154.12
7,9275,Rainy,Flat,6463,5233.07
5,26500,Rainy,Flat,3986,16669.13
6,6850,Summer,House,4179,5294.84
8,9790,Summer,Flat,2806,2821.32
4,8720,Rainy,House,745,1187.71
4,12670,Summer,Flat,8996,17078.47
4,4930,Rainy,Flat,9641,6924.17
7,4885,Winter,Flat,4538,3900.65
8,3605,Rainy,House,8851,4292.42
3,24650,Rainy,Flat,6598,19773.29
6,11760,Winter,House,2699,8911.15
8,14200,Summer,Flat,2288,3213.19
3,12280,Winter,Flat,1317,3254.07
1,5300,Rainy,Flat,1536,1827.47
3,20630,Summer,House,5752,18342.2
4,5670,Rainy,Flat,7327,7106.97
1,9750,Rainy,Flat,2712,7811.43
5,10040,Summer,House,647,1957.24
4,11495,Summer,Flat,2153,3547.66
6,17750,Winter,House,1891,9164.49
2,8800,Winter,House,8056,15260.33
4,5195,Rainy,Flat,2472,2064.64
8,25580,Rainy,Flat,2647,15108.22
1,16670,Winter,House,9589,38458.98
7,10340,Winter,Flat,4801,3090.74
8,14570,Rainy,Flat,1087,2801.57
4,1655,Winter,Flat,854,89.6
3,5790,Winter,Flat,8341,6846.39
4,6100,Summer,House,505,660.91
3,690,Summer,Flat,8801,827.24
8,2575,Rainy,House,3070,2523.49
3,2525,Winter,House,1915,880.26
1,7560,Rainy,Flat,2869,3442.28
4,12200,Summer,Flat,8804,23086.5
4,19270,Rainy,Flat,4743,16704.07
1,6020,Summer,Flat,573,288.0
7,3045,Rainy,House,3757,4031.17
1,10675,Summer,Flat,2746,3562.04
5,12730,Summer,Flat,8375,18793.45
1,6260,Winter,House,9180,15279.91
5,5050,Rainy,House,7312,10341.43
6,4470,Rainy,House,4042,3116.22
3,3510,Rainy,Flat,6330,2419.2
7,10210,Summer,House,6153,10571.69
7,9905,Summer,House,7722,21216.2
1,2980,Summer,Flat,4090,1782.03
2,8820,Winter,House,4697,4657.72
7,14870,Rainy,House,6754,14287.32
2,15660,Winter,Flat,7430,18366.77
2,8225,Winter,House,1830,1816.52
7,9600,Rainy,Flat,4633,6662.09
8,8940,Summer,Flat,8415,15206.05
8,11050,Rainy,Flat,9451,32728.51
6,7590,Winter,House,8095,13303.24
6,17140,Winter,House,5779,23494.47
4,13690,Summer,Flat,8298,26179.1
5,2980,Summer,House,9051,8291.34
3,2450,Winter,Flat,6882,1949.1
1,12400,Rainy,Flat,9608,12837.59
3,4165,Winter,Flat,8941,4004.1
7,17470,Winter,Flat,3215,5122.73
2,3875,Winter,House,2940,2222.71
5,5030,Winter,House,2697,977.79
4,19590,Rainy,House,1220,3393.03
5,3725,Summer,House,6103,2262.4
1,13445,Winter,House,9194,40840.25
4,7380,Summer,Flat,8876,12846.76
1,25000,Rainy,House,5793,30594.14
8,17245,Rainy,House,7617,33092.88
6,12860,Winter,House,2870,4059.33
7,14895,Summer,Flat,5116,13279.71
1,11970,Summer,House,4083,12447.8
4,4530,Winter,House,6040,8760.44
7,7970,Summer,House,7991,8888.52
4,8490,Rainy,Flat,9928,12103.72
3,20000,Summer,House,2530,13047.91
2,10070,Summer,House,7872,29741.53
1,8685,Winter,House,9048,14132.72
4,3260,Winter,Flat,9908,5288.88
2,16975,Winter,Flat,6254,15400.87
2,9635,Winter,Flat,8978,18638.32
8,24780,Winter,Flat,4560,17018.19
8,3850,Winter,House,5336,5237.83
3,15360,Rainy,House,7048,20617.3
3,9145,Summer,Flat,9074,13430.07
2,15160,Rainy,Flat,546,1322.47
4,11000,Summer,House,2449,13684.16
7,4260,Winter,Flat,6777,4142.48
4,17000,Summer,House,6360,30126.54
8,21060,Winter,Flat,5791,23765.97
3,17870,Summer,Flat,9496,43954.12
4,10220,Winter,House,783,1911.14
6,13950,Rainy,Flat,2352,8274.95
5,9970,Summer,House,1362,3437.37
8,19150,Summer,House,511,2234.08
5,15460,Summer,House,9585,27694.51
1,8940,Winter,Flat,4593,3684.58
3,4725,Rainy,House,6254,9243.45
4,9060,Rainy,House,2952,4319.25
8,10980,Summer,House,2077,5026.0
7,13240,Summer,House,5633,21257.15
4,9535,Rainy,House,6668,9167.5
7,29380,Summer,House,6050,30406.28
4,12015,Rainy,Flat,7848,16703.98
7,13360,Summer,House,998,2723.28
6,5870,Rainy,House,3165,4527.07
5,4580,Winter,House,9299,12242.68
8,7570,Rainy,Flat,1383,2016.14
3,13575,Winter,House,2845,3509.87
7,9490,Summer,Flat,5719,7428.58
2,12860,Summer,Flat,5607,16728.29
8,16320,Winter,House,3881,13753.49
4,9310,Summer,House,6704,17952.5
1,3855,Summer,Flat,4396,1384.24
3,24750,Summer,House,3284,22380.19
8,6290,Rainy,House,984,797.04
8,10875,Winter,Flat,5488,4640.56
6,15330,Rainy,Flat,7656,13167.65
6,9280,Summer,House,3649,9099.12
7,9400,Winter,Flat,5843,5132.99
7,6580,Rainy,Flat,3393,2434.26
3,565,Summer,Flat,5574,767.9
7,12400,Summer,House,6749,23947.27
2,6670,Winter,House,2376,4170.82
7,6085,Summer,House,3827,7077.55
6,12090,Rainy,Flat,4228,7186.52
4,7750,Winter,House,2336,5439.05
1,7860,Rainy,House,3614,7325.94
5,8080,Summer,House,8925,23061.19
4,2540,Winter,Flat,8967,903.89
7,9070,Rainy,Flat,9376,2468.4
7,18060,Winter,Flat,2161,4362.49
8,980,Winter,House,6214,1080.58
7,5220,Rainy,Flat,3924,1990.18
6,7130,Winter,House,3655,4054.1
7,7450,Summer,Flat,9847,5982.17
8,1870,Rainy,House,9178,3255.42
4,13175,Winter,Flat,8709,13682.24
4,16800,Rainy,House,2864,5749.71
1,7530,Rainy,Flat,4528,5740.44
3,27100,Winter,Flat,4242,25089.71
1,3285,Winter,House,1327,1109.13
2,15250,Rainy,House,4836,15083.14
8,12320,Winter,Flat,6714,12091.41
1,16310,Rainy,House,8792,35190.39
7,13500,Winter,House,8145,21278.97
5,14060,Rainy,Flat,9506,18176.6
7,3100,Winter,Flat,8860,1246.62
7,17260,Summer,Flat,7510,24380.46
3,14900,Summer,House,9060,15329.02
7,6570,Winter,Flat,3183,3544.36
2,7640,Summer,Flat,9192,18217.85
6,3160,Rainy,House,5740,2164.96
4,4585,Rainy,House,2854,3962.53
8,7750,Summer,House,4383,4006.06
5,10610,Winter,Flat,1740,3560.29
6,17160,Summer,Flat,1786,5570.04
6,11250,Rainy,Flat,1664,3061.74
6,8670,Winter,House,7705,17159.15
6,8640,Winter,Flat,3655,1084.12
7,6100,Summer,House,8994,12642.69
2,21275,Rainy,House,7853,33442.96
2,6675,Summer,House,1119,2016.44
7,7710,Rainy,House,9589,29886.53
4,740,Winter,House,563,51.36
2,15350,Summer,Flat,7176,22057.77
5,13270,Winter,Flat,7731,17646.91
1,9500,Summer,House,4785,8404.05
6,8110,Summer,House,6590,6617.6
7,22170,Summer,House,6551,9912.03
5,9750,Winter,House,3059,7174.57
1,6320,Summer,Flat,9367,3766.04
2,24000,Rainy,Flat,2931,12416.06
5,9275,Rainy,Flat,4630,9573.56
3,13740,Rainy,Flat,7544,20513.56
2,920,Summer,Flat,8204,591.34
7,11215,Winter,House,4269,13638.79
2,6390,Winter,Flat,1129,844.62
5,17440,Winter,House,7666,19127.61
7,19710,Winter,House,995,6391.22
3,6590,Winter,Flat,4953,4030.16
1,3570,Winter,House,4260,1865.52
8,2270,Summer,House,8601,4886.16
7,12580,Summer,House,4152,20111.06
6,15480,Winter,House,3864,11198.63
7,12240,Winter,Flat,9295,11174.84
6,3540,Summer,Flat,835,208.1
6,9445,Rainy,Flat,3444,1748.02
4,8940,Rainy,Flat,7424,12510.94
4,9240,Winter,House,6968,6868.59
3,1660,Rainy,Flat,7974,1877.77
2,6780,Winter,Flat,1163,607.57
3,21975,Winter,House,2147,9618.24
5,18330,Summer,House,1153,10138.67
5,9805,Rainy,House,7521,16637.76
5,26845,Rainy,House,8530,29166.42
4,1280,Rainy,House,1123,336.73
8,6415,Rainy,House,2560,3599.59
5,15300,Rainy,House,2612,9475.57
4,6675,Summer,Flat,9900,15589.05
6,9240,Winter,House,2346,1220.6
7,16360,Rainy,Flat,1384,5475.88
1,13295,Winter,Flat,8994,24121.01
4,27460,Rainy,Flat,3915,13629.97
6,11380,Summer,House,4691,5060.72
4,11275,Rainy,Flat,9014,21929.1
1,5205,Summer,Flat,577,648.78
8,10890,Rainy,House,1353,3711.11
6,17315,Summer,House,7438,36411.95
2,3815,Summer,Flat,9736,6551.97
2,2495,Rainy,House,9664,4043.33
4,10240,Rainy,Flat,7423,23973.02
1,11530,Winter,House,7582,21199.44
5,19370,Rainy,House,1041,3251.64
1,9130,Rainy,House,1796,3359.73
8,12200,Summer,Flat,7738,15669.81
4,23930,Summer,Flat,7410,37439.52
6,20310,Summer,Flat,4031,18899.79
2,5985,Rainy,Flat,2761,2136.4
3,7550,Rainy,Flat,7059,6015.64
5,7280,Rainy,Flat,1728,4156.33
4,13720,Summer,House,5601,16758.38
7,4640,Winter,House,8455,13604.4
8,12660,Winter,Flat,6202,8813.68
3,28945,Rainy,Flat,1290,4673.73
8,20350,Rainy,House,9191,69255.3
1,20800,Summer,Flat,7323,35051.11
8,10050,Winter,Flat,2126,1206.57
6,11805,Winter,Flat,4542,7788.25
6,15850,Rainy,House,3643,13439.69
8,1860,Winter,House,6067,795.07
5,1640,Rainy,Flat,8256,3937.59
1,11450,Winter,Flat,678,694.36
6,7070,Rainy,Flat,3573,6295.24
5,12360,Winter,House,2867,3257.19
5,23355,Winter,Flat,4412,16463.47
3,11830,Winter,House,885,1032.87
5,8150,Rainy,House,6563,8197.53
8,16065,Rainy,House,4001,10351.9
1,6400,Summer,Flat,4612,8868.49
6,2015,Rainy,Flat,2391,237.62
6,21800,Summer,House,5702,36552.29
1,9890,Summer,Flat,5455,8046.82
4,13155,Summer,House,8845,37443.27
1,13725,Winter,Flat,8822,19803.29
2,16230,Winter,Flat,5443,9979.68
7,16845,Summer,Flat,5203,23676.9
7,8075,Winter,House,2380,2305.69
4,6365,Rainy,House,4052,4748.35
2,610,Winter,Flat,1559,130.44
1,3485,Winter,Flat,2197,1363.98
6,13520,Summer,House,3022,4367.6
3,3850,Rainy,Flat,3647,1396.97
2,6340,Winter,Flat,1412,599.42
1,8260,Summer,Flat,2409,2699.44
3,2510,Rainy,House,4055,971.44
5,9960,Rainy,Flat,8553,23100.51
7,4575,Summer,Flat,8383,7230.44
7,1745,Summer,House,4706,3215.74
3,5720,Summer,House,6061,8188.48
6,21960,Winter,Flat,9789,33222.32
1,9590,Summer,House,9843,29421.1
6,8050,Rainy,Flat,6676,10812.67
1,9240,Rainy,Flat,3164,4523.77
6,11140,Winter,House,4461,9020.13
3,6325,Summer,Flat,4665,4407.29
4,22980,Rainy,Flat,4958,15990.41
4,19730,Rainy,House,7681,49933.62
5,3270,Winter,Flat,9976,3553.06
8,25115,Summer,House,3600,24292.44
7,6015,Winter,House,9508,17812.87
6,5500,Winter,House,2489,1451.58
1,15260,Summer,House,9413,45575.19
4,7320,Rainy,Flat,8394,13874.15
7,8000,Summer,Flat,877,2703.65
3,10295,Winter,House,8442,26267.39
6,7190,Rainy,Flat,7150,3262.23
1,10340,Rainy,Flat,4749,8812.6
3,17470,Summer,House,1311,5927.8
4,2570,Winter,House,8006,2336.67
1,20725,Summer,House,4536,34889.86
6,20215,Winter,Flat,4210,10183.73
6,14780,Winter,Flat,613,663.69
5,20610,Winter,House,3541,9323.65
1,15930,Summer,House,7740,41972.5
7,13780,Summer,House,573,1946.26
4,14870,Summer,Flat,2652,8406.49
7,7915,Summer,Flat,8344,15505.4
2,9150,Summer,Flat,6182,7931.48
4,3690,Summer,Flat,6595,6523.91
5,28960,Summer,House,3019,20158.14
3,23845,Winter,House,8222,30870.65
1,8000,Rainy,Flat,8029,13642.12
3,2340,Summer,Flat,8597,2484.21
7,16650,Summer,House,3539,23314.69
6,6915,Summer,House,3359,2147.12
3,10950,Winter,House,5468,14570.32
5,12240,Winter,Flat,627,1414.91
2,1350,Winter,Flat,7575,1090.4
6,6340,Summer,Flat,2807,3781.43
8,14135,Summer,House,7830,21430.99
2,11320,Rainy,Flat,5303,8428.46
1,21540,Rainy,Flat,4103,19266.37
2,22640,Rainy,House,8255,24439.85
2,24175,Winter,Flat,3120,10414.75
1,5940,Summer,House,1244,901.49
4,17160,Summer,Flat,946,3629.56
5,19760,Summer,House,9481,52044.43
5,9140,Rainy,Flat,5065,12293.41
8,6200,Rainy,House,8456,8571.13
3,31740,Summer,House,6527,58993.0
8,15750,Summer,Flat,9858,42140.86
5,6215,Summer,Flat,5789,5671.62
2,17220,Summer,House,2965,19463.51
4,16605,Winter,House,2741,11946.42
8,16035,Winter,House,8270,23893.98
3,14660,Rainy,House,5638,7430.52
8,21010,Winter,House,4219,27594.23
7,6795,Summer,Flat,9373,13449.76
7,15415,Summer,Flat,2519,8300.67
7,1900,Rainy,House,507,225.29
2,2390,Winter,House,9717,3655.93
2,5145,Summer,Flat,1136,664.68
5,16950,Winter,Flat,6399,20431.49
4,5760,Summer,Flat,4363,6449.38
6,6125,Rainy,Flat,2556,3411.57
7,20970,Summer,Flat,5997,32451.74
5,18000,Rainy,House,6968,25411.61
5,7300,Rainy,House,976,812.64
6,4100,Winter,House,9238,6983.14
3,365,Rainy,House,1512,108.7
3,1145,Winter,Flat,8641,1853.07
2,5315,Winter,House,7354,3088.48
8,6435,Rainy,Flat,7561,10540.01
3,22365,Winter,Flat,3168,10641.53
8,22040,Rainy,Flat,8177,35659.14
1,4030,Winter,House,840,631.91
1,6930,Summer,House,5223,12882.42
7,18960,Summer,House,1901,4739.51
4,5050,Rainy,Flat,1485,1208.27
3,10615,Winter,Flat,839,1260.29
3,29730,Winter,Flat,4099,13316.42
3,18340,Rainy,Flat,9854,10576.5
1,10130,Rainy,Flat,5315,7542.2
2,2225,Rainy,House,1760,376.25
5,990,Rainy,House,5974,901.83
7,4275,Winter,Flat,7266,2031.25
6,8770,Rainy,House,2110,2859.0
1,11545,Rainy,House,535,681.57
8,9235,Summer,Flat,9238,11057.54
8,11090,Summer,Flat,793,1928.94
2,26855,Rainy,Flat,3249,9381.52
8,3220,Rainy,House,2776,2176.91
2,13910,Winter,Flat,4370,10128.79
1,11310,Rainy,Flat,9627,31293.13
7,3920,Rainy,House,6594,3145.88
4,10900,Winter,House,2024,4202.81
7,17020,Summer,Flat,2217,6447.38
4,13870,Rainy,Flat,4021,9313.82
4,11360,Rainy,House,9590,25719.4
1,13160,Winter,House,3173,4645.82
2,14390,Summer,House,8467,27249.66
2,2480,Rainy,House,4574,2767.61
1,11130,Summer,Flat,6664,23680.06
2,16250,Summer,Flat,5005,32968.26
4,2820,Summer,Flat,810,552.56
6,6540,Summer,Flat,1746,2305.78
6,765,Rainy,House,6489,795.55
2,12100,Summer,House,8894,19529.04
5,13495,Rainy,Flat,7218,12139.5
8,7030,Winter,Flat,4254,869.03
2,6840,Rainy,House,6273,13227.73
2,22560,Winter,Flat,7726,15945.34
5,26060,Rainy,Flat,8834,36857.56
8,5600,Rainy,Flat,9588,5897.72
1,13200,Winter,House,1895,4525.18
3,9800,Summer,Flat,2286,2875.39
3,14085,Summer,House,4702,12753.4
8,11930,Summer,Flat,4062,10106.97
5,14380,Winter,House,7493,31320.57
5,18140,Rainy,Flat,8039,19410.02
4,3450,Winter,House,3068,3296.01
8,11020,Rainy,Flat,6634,15977.77
7,30000,Winter,Flat,2426,7343.89
4,15530,Summer,House,1444,4642.25
4,8150,Rainy,House,8736,12085.21
4,24280,Rainy,Flat,4486,21701.46
6,11055,Winter,House,9166,11566.01
2,7470,Winter,Flat,7446,7025.99
1,10480,Summer,Flat,5624,7954.95
1,6500,Rainy,Flat,3948,2589.93
5,6820,Winter,Flat,2909,4311.88
2,11860,Rainy,House,2307,3452.04
2,1300,Summer,House,6672,2240.45
6,5450,Rainy,House,2600,2627.66
4,10760,Summer,Flat,9622,36013.84
7,13870,Rainy,Flat,9643,27932.41
4,6230,Rainy,House,4149,7216.87
6,9180,Winter,Flat,8623,10034.08
1,13040,Rainy,House,627,2164.33
4,9280,Winter,House,5053,9961.74
1,4555,Summer,House,2269,1637.64
3,20570,Summer,Flat,5094,7224.45
8,8150,Rainy,Flat,1762,1786.43
3,2070,Summer,House,9677,6162.14
7,15205,Rainy,Flat,7797,28740.78
7,9980,Rainy,Flat,520,1153.34
4,8810,Rainy,Flat,7831,14919.24
2,6045,Winter,House,2524,1663.58
2,10710,Winter,House,8408,21966.74
8,14280,Winter,Flat,6173,8935.75
7,5650,Winter,House,7752,4760.61
5,13800,Rainy,House,3833,13892.96
1,7195,Rainy,House,3132,3246.17
4,9300,Summer,Flat,1647,3949.85
4,8855,Rainy,House,4323,7984.35
1,8780,Rainy,House,7988,21903.9
2,15410,Rainy,Flat,8541,23593.73
5,2090,Winter,House,4162,2131.42
5,9800,Rainy,Flat,8127,5948.87
7,2835,Summer,Flat,459,402.39
3,12740,Rainy,House,7504,25815.21
4,3630,Winter,House,6152,4117.14
3,17500,Summer,Flat,1474,5316.16
3,7670,Winter,House,744,2188.1
1,14740,Rainy,Flat,1904,3496.59
4,7240,Summer,Flat,9102,15923.64
7,11040,Winter,Flat,7065,7544.89
4,11970,Summer,House,6864,20175.34
2,16300,Summer,Flat,723,2318.26
7,7690,Rainy,House,6403,21417.66
3,23650,Rainy,Flat,9978,47017.06
3,8870,Winter,Flat,6584,7649.63
8,3370,Summer,House,2044,927.88
2,14445,Winter,House,448,2379.92
6,12090,Summer,Flat,9031,28769.44
3,9625,Rainy,House,5239,7202.94
8,12980,Rainy,Flat,3097,7546.1
4,10300,Rainy,Flat,2948,9864.77
6,11180,Summer,Flat,4046,12561.02
1,14210,Summer,Flat,511,1097.74
5,2345,Summer,Flat,1342,514.26
3,15890,Summer,House,8692,44009.16
1,23500,Summer,House,4189,28674.17
7,4160,Summer,House,6392,8383.69
3,10340,Rainy,House,5712,8671.51
8,405,Summer,House,483,40.06
8,12420,Winter,House,9199,10732.8
5,6700,Summer,House,4796,8505.05
2,14715,Summer,Flat,3291,5667.92
7,14405,Winter,House,7772,13075.16
1,11000,Summer,Flat,4667,11258.73
8,6105,Rainy,House,7946,14703.8
8,7350,Rainy,Flat,4837,5646.33
7,16960,Rainy,House,9862,40916.65
3,9555,Summer,House,3804,7031.19
6,8200,Winter,House,1810,3337.41
6,17025,Summer,House,3332,12036.62
5,12700,Rainy,House,7770,20655.46
1,19870,Summer,Flat,3320,15183.54
2,12290,Summer,House,4398,17988.84
8,12835,Rainy,Flat,5494,9530.25
3,7360,Winter,House,2517,5693.94
1,12640,Summer,House,3441,8516.08
3,5030,Summer,House,3716,4576.79
6,12310,Summer,Flat,6470,19953.51
3,7080,Summer,Flat,4891,7193.28
1,5960,Summer,Flat,6388,10833.38
7,11900,Rainy,Flat,4263,13189.59
5,2080,Winter,House,6911,4034.56
2,7215,Summer,House,1911,3624.61
5,8980,Winter,Flat,2313,3996.09
6,16345,Winter,Flat,554,1013.66
3,23000,Winter,Flat,1980,6343.84
2,6375,Winter,House,4009,6359.08
4,11895,Summer,House,8015,22212.72
3,10145,Summer,House,8209,9880.35
7,11400,Rainy,Flat,8357,21993.09
7,3925,Winter,House,4056,2920.27
6,14150,Summer,House,1883,12354.67
8,21125,Summer,Flat,4275,16018.17
5,31050,Winter,House,1140,11520.78
5,8530,Winter,Flat,7886,6759.14
6,16000,Summer,House,1548,5614.88
2,13830,Rainy,Flat,6271,15030.41
2,21500,Rainy,Flat,2458,7723.8
2,21780,Winter,House,6564,22679.68
8,11605,Rainy,House,4148,7613.18
6,8570,Rainy,House,2662,2784.35
5,15960,Summer,Flat,1839,6027.85
4,22540,Winter,Flat,7646,14505.09
1,5485,Winter,Flat,481,475.6
5,23760,Rainy,Flat,5947,35547.74
7,12105,Summer,Flat,3344,5357.52
6,13845,Rainy,Flat,6185,8161.61
8,5090,Rainy,House,6164,9955.65
2,10260,Rainy,House,9491,25313.12
5,19230,Rainy,Flat,4179,15122.06
2,8170,Summer,House,2522,5141.73
8,8465,Winter,Flat,7061,4344.6
7,2010,Rainy,House,9570,5604.23
7,20520,Summer,House,8512,72911.89
6,17120,Summer,Flat,1505,3698.69
3,31015,Summer,House,2023,14211.08
3,8720,Rainy,Flat,8832,17610.25
6,2035,Summer,Flat,7444,3099.95
4,7170,Winter,Flat,1915,1822.38
4,9920,Summer,Flat,6785,10698.16
1,3050,Winter,House,533,400.65
2,21300,Winter,Flat,4003,15892.96
2,18030,Winter,Flat,3599,7984.34
3,13670,Summer,House,2203,8075.67
4,26770,Rainy,House,5830,30699.42
2,17330,Winter,Flat,6488,14835.4
8,1990,Winter,Flat,9376,3481.14
7,14000,Winter,Flat,3193,4209.83
2,14760,Rainy,Flat,5960,15493.09
3,11900,Winter,Flat,4850,7903.36
5,5280,Winter,House,9057,16376.02
7,6480,Summer,House,6519,9681.47
6,5890,Winter,House,9016,16727.79
3,9685,Winter,Flat,8152,9024.12
6,23375,Summer,House,9216,37835.86
2,5445,Summer,Flat,4193,7001.3
3,8990,Winter,House,3295,7824.77
2,13045,Rainy,Flat,8279,20938.67
7,8610,Summer,House,1482,6393.0
2,3550,Rainy,House,9699,5774.97
5,26540,Summer,House,1637,12352.82
5,18330,Rainy,House,6967,17611.5
2,1890,Winter,House,7824,1740.22
2,5390,Rainy,Flat,8050,9007.06
6,10670,Rainy,House,2840,7427.54
1,3110,Rainy,Flat,4841,3324.51
3,3150,Summer,House,2364,1445.9
2,1075,Winter,House,9476,1837.07
6,6710,Winter,House,1242,2455.49
8,4370,Rainy,House,9262,13689.07
3,18340,Rainy,House,6292,28438.22
5,3100,Summer,House,7502,4462.64
6,2350,Rainy,House,1029,526.03
8,8460,Summer,House,6177,9057.46
6,13470,Summer,House,2058,8661.53
6,16600,Summer,Flat,8833,17782.19
3,12350,Rainy,Flat,5236,10244.52
7,4115,Rainy,House,3062,1477.41
7,6780,Winter,House,1284,1167.27
5,5750,Rainy,Flat,7868,5770.73
3,10460,Summer,House,9718,39230.02
5,13500,Winter,House,6551,6991.5
4,6020,Winter,House,3908,2864.53
7,12250,Rainy,Flat,9987,26332.61
2,16850,Summer,House,8134,34038.79
5,11050,Winter,House,1533,1974.55
2,8885,Winter,Flat,7551,8747.51
7,13810,Rainy,House,7367,24965.8
3,4145,Rainy,House,8483,6799.38
5,5660,Winter,House,9099,12777.57
3,18505,Winter,Flat,4992,9775.15
6,7250,Winter,House,7726,9433.46
8,1620,Winter,Flat,8425,2409.87
1,9445,Winter,House,5280,8836.73
8,8770,Winter,Flat,4477,5397.96
8,14800,Winter,House,1751,3994.11
8,13420,Rainy,Flat,3758,7975.99
5,2930,Winter,Flat,9334,4793.36
1,11390,Winter,Flat,462,857.54
6,8955,Winter,Flat,9322,6733.04
5,2635,Summer,Flat,8219,3324.35
5,11240,Winter,House,680,919.42
6,13210,Winter,Flat,9309,8219.63
4,11570,Rainy,House,5062,9142.52
7,21220,Winter,Flat,9898,31117.15
5,15860,Summer,Flat,7530,23116.67
4,4450,Winter,Flat,3896,2140.91
6,450,Summer,House,9450,1256.82
2,4740,Winter,Flat,3287,1795.84
3,6670,Summer,House,4322,7779.3
5,17325,Summer,House,1137,4937.04
7,2370,Rainy,House,9676,7008.98
5,11360,Winter,Flat,7600,8255.84
6,10660,Winter,Flat,4431,4511.58
1,10920,Summer,House,6945,8866.84
5,13820,Summer,Flat,5932,17391.75
3,20320,Winter,Flat,7014,19633.25
8,6260,Winter,Flat,8519,9249.46
5,21500,Summer,House,5395,36778.35
5,4690,Rainy,Flat,3473,2209.0
4,31390,Winter,Flat,3779,12040.15
3,4730,Rainy,Flat,1065,802.71
8,4880,Summer,Flat,7547,9006.5
7,13460,Summer,Flat,4391,12332.69
2,17425,Rainy,House,2169,6868.29
7,18330,Summer,House,7232,17958.94
5,16620,Winter,Flat,2196,3013.45
4,9915,Rainy,Flat,4938,10412.26
6,13600,Summer,House,4285,17242.01
8,2870,Summer,House,6061,3793.96
4,4350,Winter,House,2046,1690.56
2,18020,Rainy,House,6072,24743.54
4,21560,Winter,House,5478,24360.33
3,10710,Summer,Flat,1377,2164.52
7,8220,Rainy,House,6499,11147.67
1,2695,Winter,House,6543,2689.5
8,16775,Rainy,House,4771,23166.85
1,8130,Winter,Flat,623,750.73
3,17705,Winter,Flat,1870,4016.92
1,8895,Summer,House,6718,16938.06
4,5630,Winter,Flat,4952,3682.55
3,17310,Winter,House,4886,14249.51
8,6410,Rainy,Flat,9833,11783.93
5,11075,Rainy,Flat,1041,1835.25
7,18715,Summer,Flat,9942,34852.83
1,17115,Summer,House,7883,30489.37
8,5310,Winter,Flat,2659,3600.93
8,12300,Summer,House,8998,35258.89
4,5435,Rainy,Flat,5341,4668.66
4,10120,Rainy,Flat,3332,4169.01
5,15395,Rainy,House,7965,39432.95
8,8280,Rainy,House,4730,3959.14
2,21760,Rainy,Flat,9942,37185.37
8,2360,Rainy,Flat,5849,3624.01
4,10125,Winter,Flat,6486,6832.09
2,18030,Summer,Flat,6421,28996.0
6,26160,Summer,Flat,5994,25883.41
4,1445,Rainy,House,7333,2311.87
5,15545,Rainy,Flat,5514,17450.59
5,15140,Winter,Flat,7702,24228.57
6,15845,Rainy,Flat,2476,9032.64
7,17375,Rainy,House,1933,7855.92
6,5910,Winter,House,4983,5873.96
7,960,Summer,Flat,5918,1479.67
6,7360,Winter,House,1903,1787.06
8,14330,Rainy,Flat,2315,2482.45
2,10860,Winter,Flat,5119,7570.87
2,12240,Winter,Flat,2746,1857.04
6,19490,Summer,House,8168,20197.78
6,16210,Summer,Flat,471,2071.17
8,12180,Rainy,Flat,1027,2184.98
2,5840,Rainy,Flat,3995,4060.17
8,10660,Rainy,House,5872,10770.93
5,8530,Winter,House,2445,4406.49
1,16090,Summer,House,3649,29329.9
7,16910,Winter,House,1804,3104.88
6,12545,Summer,Flat,3866,4736.63
7,20460,Summer,House,6138,36443.07
2,6690,Summer,Flat,1655,1195.15
2,3340,Rainy,House,8105,6248.9
8,8555,Summer,Flat,7338,17110.25
2,9060,Winter,House,5625,13193.13
6,12580,Rainy,Flat,4659,10344.03
3,15925,Summer,House,5100,13342.22
8,15625,Winter,Flat,6748,16879.98
6,15200,Summer,House,6561,19143.47
1,12895,Rainy,House,3535,16862.86
6,10550,Summer,House,6420,18014.76
3,23720,Summer,Flat,2675,10594.57
1,8185,Winter,Flat,5559,6077.39
4,12400,Rainy,Flat,4216,7414.76
5,11510,Summer,Flat,2358,3986.25
1,7600,Summer,House,9576,15470.98
4,5560,Winter,House,4443,1925.05
6,17260,Winter,Flat,4697,5294.13
3,14265,Winter,House,7838,26842.33
5,8600,Rainy,House,3111,8368.15
6,9255,Winter,House,916,2395.65
6,4705,Summer,Flat,8123,12529.18
6,17310,Winter,Flat,2310,8115.09
7,21190,Winter,House,8909,25679.23
8,13960,Summer,House,1562,5561.56
4,26090,Rainy,House,3581,18240.46
3,3895,Rainy,Flat,3944,1835.1
4,10010,Rainy,House,6907,7508.18
7,9510,Rainy,Flat,7036,11059.33
6,10150,Summer,Flat,1112,1695.67
1,20250,Rainy,House,9640,45119.17
4,18220,Winter,House,8030,18635.46
3,18060,Summer,House,5008,26912.23
1,2325,Winter,Flat,4017,2014.75
8,11355,Summer,House,8948,36153.66
1,14160,Summer,House,757,4351.16
8,6125,Summer,Flat,8420,6940.84
6,4700,Rainy,House,8689,9921.75
1,6720,Summer,House,2884,8073.2
1,15910,Rainy,Flat,6745,12420.9
8,9700,Rainy,Flat,1024,1712.25
7,15460,Winter,House,9964,35405.82
4,11750,Rainy,Flat,6933,8520.96
