FamilyMembers,HouseType,Sqft,Season,Units
6,House,2137,Rainy,334.13
4,Flat,812,Summer,678.23
3,House,1935,Winter,1764.87
3,Flat,1324,Rainy,2666.83
2,Flat,652,Rainy,8909.54
5,House,1104,Rainy,1684.19
4,Flat,560,Rainy,2891.0
6,Flat,966,Summer,1770.69
1,Flat,1210,Winter,219.74
3,Flat,978,Winter,1096.29
3,House,1758,Winter,596.82
2,House,438,Rainy,1633.47
5,House,507,Rainy,1413.45
1,Flat,2486,Summer,5412.88
6,House,631,Rainy,5894.01
5,Flat,2416,Rainy,287.5
6,House,1385,Summer,1027.92
3,Flat,850,Rainy,1799.58
3,Flat,825,Rainy,2498.4
3,Flat,1459,Winter,696.48
5,House,570,Winter,1635.71
1,Flat,568,Summer,3762.62
6,Flat,703,Summer,2408.75
4,Flat,2297,Rainy,1899.62
6,House,1797,Rainy,1260.59
4,House,2008,Winter,223.04
1,House,1421,Winter,457.56
6,Flat,2028,Summer,2649.92
3,House,1406,Winter,4969.29
1,House,2281,Summer,4829.97
3,House,1991,Rainy,2425.86
4,House,2059,Winter,417.47
2,Flat,1071,Rainy,144.7
3,House,317,Summer,362.52
1,Flat,2459,Winter,950.57
2,House,361,Winter,568.79
2,House,2198,Winter,1107.25
5,Flat,812,Rainy,1925.16
2,Flat,1525,Winter,1422.39
4,Flat,525,Winter,1831.6
5,House,2029,Rainy,4528.41
3,House,885,Summer,811.4
5,Flat,1825,Rainy,1652.43
2,House,1190,Summer,6348.58
4,Flat,1751,Summer,1002.87
1,Flat,1287,Winter,313.79
3,House,2048,Summer,2577.22
6,Flat,2342,Rainy,2187.99
5,House,1747,Winter,1862.53
1,Flat,1896,Rainy,209.34
5,House,1496,Summer,1153.86
1,Flat,670,Rainy,413.32
5,House,1099,Winter,1746.39
5,House,2096,Summer,6961.72
3,Flat,815,Winter,1219.37
4,Flat,751,Winter,1420.76
2,Flat,1724,Winter,776.62
2,House,952,Winter,264.16
1,House,578,Winter,1456.25
6,House,745,Rainy,11764.07
1,Flat,2089,Winter,1797.78
5,House,1412,Summer,1768.04
2,House,944,Rainy,4187.28
2,Flat,396,Rainy,668.88
5,Flat,2001,Winter,1241.32
2,House,940,Rainy,5369.78
5,House,936,Rainy,609.8
6,House,1521,Winter,727.75
1,House,1720,Winter,1126.67
3,Flat,1342,Rainy,1146.05
1,House,906,Summer,2129.46
4,Flat,489,Rainy,854.17
5,Flat,537,Winter,3610.08
5,House,372,Summer,5602.16
3,House,1608,Winter,281.73
2,Flat,2426,Summer,1744.58
3,Flat,368,Summer,3204.78
4,Flat,1566,Rainy,2322.76
2,House,530,Winter,1945.27
2,Flat,2136,Winter,5776.49
1,Flat,1721,Winter,3360.92
1,Flat,577,Summer,3803.11
3,Flat,1724,Summer,6595.31
4,Flat,401,Winter,534.74
3,House,1898,Rainy,1034.2
2,Flat,634,Summer,3571.18
5,Flat,1231,Winter,257.22
5,Flat,2161,Winter,3335.83
2,House,1213,Winter,829.16
1,Flat,509,Summer,3972.06
3,House,601,Rainy,6439.16
3,Flat,908,Winter,310.2
6,House,650,Rainy,6548.32
2,Flat,1565,Summer,325.27
4,Flat,704,Rainy,1659.76
6,House,1746,Summer,6437.29
5,House,1818,Summer,1565.97
5,House,2170,Rainy,2042.29
1,Flat,910,Summer,4028.5
2,Flat,404,Summer,3083.18
6,Flat,1422,Summer,184.05
1,Flat,1428,Rainy,1701.72
4,Flat,2258,Summer,1195.6
3,House,1270,Rainy,1383.64
6,Flat,2268,Rainy,3932.04
4,House,2113,Winter,719.63
1,House,620,Summer,2763.66
2,House,1586,Summer,2745.86
4,House,1014,Rainy,1888.63
6,House,1674,Rainy,1965.85
1,House,1022,Rainy,5212.29
5,House,2231,Winter,1590.51
4,Flat,2329,Rainy,1314.06
6,Flat,608,Rainy,1291.6
5,Flat,1730,Rainy,4009.15
3,House,2118,Summer,578.24
5,Flat,1372,Summer,4092.03
2,Flat,682,Summer,185.05
5,House,841,Rainy,1176.72
5,House,1299,Rainy,1693.82
5,Flat,603,Summer,3267.35
4,Flat,1952,Summer,1377.14
3,House,1253,Winter,2033.92
3,House,579,Winter,1464.11
4,Flat,1646,Winter,1974.73
3,House,805,Rainy,4296.51
5,Flat,1098,Summer,413.52
3,Flat,369,Winter,886.15
5,Flat,1090,Winter,2125.63
2,Flat,1438,Summer,349.23
2,Flat,347,Summer,1907.04
3,House,365,Summer,6511.69
2,Flat,2361,Rainy,341.53
6,House,2314,Winter,107.73
5,House,440,Summer,6343.16
3,Flat,354,Winter,452.43
1,House,1330,Rainy,4038.05
4,Flat,345,Rainy,4000.28
1,Flat,963,Winter,2643.91
4,Flat,974,Summer,2049.07
5,Flat,1063,Winter,964.13
6,House,834,Rainy,4934.62
4,House,2154,Rainy,3378.32
6,House,2337,Winter,1630.25
2,Flat,1741,Summer,7824.26
4,House,756,Summer,509.72
3,Flat,413,Summer,1287.74
3,Flat,1619,Winter,2659.67
1,House,865,Rainy,1797.53
2,House,1212,Summer,3584.65
6,Flat,2013,Rainy,3416.36
4,House,2425,Winter,4492.5
1,House,1479,Summer,3679.26
2,Flat,344,Winter,319.23
6,House,1650,Rainy,7423.05
6,Flat,1006,Summer,6202.24
3,Flat,2403,Summer,1325.88
2,House,1247,Rainy,1889.25
2,Flat,437,Rainy,3375.85
3,Flat,2237,Summer,2066.55
5,House,2301,Rainy,2755.53
1,Flat,2389,Winter,500.44
2,Flat,1112,Summer,2165.51
5,Flat,1749,Rainy,6525.94
4,House,2334,Winter,4432.72
5,Flat,663,Rainy,2517.97
3,Flat,1877,Summer,2426.77
4,Flat,1447,Summer,5411.77
5,Flat,838,Winter,500.51
3,House,1478,Summer,5670.04
1,Flat,1030,Summer,5326.84
1,Flat,1584,Rainy,3555.12
4,Flat,2228,Summer,4475.09
6,Flat,963,Winter,269.77
3,House,1659,Summer,8723.68
2,Flat,1307,Summer,6430.64
3,House,598,Winter,5813.9
4,House,1149,Summer,5281.42
6,House,2393,Rainy,2008.37
6,House,300,Rainy,2980.1
2,Flat,1363,Rainy,1966.75
4,Flat,598,Summer,1114.03
6,Flat,710,Summer,3113.01
2,Flat,313,Rainy,402.24
1,House,1127,Summer,662.33
1,House,846,Rainy,2590.14
3,House,1227,Winter,193.44
4,House,621,Winter,508.98
5,Flat,1297,Rainy,1649.51
5,House,471,Rainy,5879.06
6,House,1967,Rainy,289.11
1,Flat,1033,Rainy,1371.82
4,House,1246,Rainy,4830.28
2,Flat,1810,Rainy,331.8
4,Flat,1164,Winter,1889.87
2,Flat,1344,Rainy,943.07
3,House,1848,Summer,2415.59
6,Flat,2483,Rainy,1655.91
1,Flat,1978,Summer,6138.8
2,Flat,1398,Summer,2655.05
6,House,1187,Summer,8059.62
1,House,936,Summer,5761.49
6,House,464,Rainy,2975.04
6,Flat,1303,Winter,1211.56
3,House,1682,Winter,416.19
5,House,1975,Summer,2102.4
3,House,2032,Summer,8801.6
1,House,1136,Summer,11100.1
3,House,1725,Rainy,2133.72
6,House,2127,Rainy,2809.31
3,Flat,1841,Winter,470.15
2,House,1646,Winter,1531.44
6,House,1764,Summer,4630.59
1,Flat,2266,Winter,1031.65
3,Flat,1146,Rainy,1498.85
3,Flat,1029,Summer,4710.59
3,House,1530,Rainy,5509.83
2,Flat,1648,Summer,1058.56
3,Flat,1555,Summer,649.54
6,House,2361,Winter,2354.01
3,House,1452,Summer,6749.12
5,House,757,Summer,6794.46
6,House,2390,Summer,7685.85
1,Flat,2172,Summer,1714.09
4,Flat,2408,Winter,779.78
3,House,2489,Rainy,1234.05
6,Flat,359,Winter,362.92
6,House,323,Summer,4161.81
6,Flat,608,Rainy,941.27
3,Flat,513,Winter,4758.09
3,House,490,Summer,3715.46
4,Flat,2173,Winter,905.99
5,House,1174,Rainy,288.61
2,House,745,Rainy,1272.83
1,House,2086,Summer,1869.39
4,House,1322,Rainy,1384.43
6,Flat,513,Rainy,482.31
5,House,1919,Summer,4153.93
5,House,1399,Summer,13021.61
2,House,533,Summer,427.78
5,Flat,1592,Rainy,2370.42
3,House,660,Rainy,1913.15
5,House,541,Winter,83.7
6,Flat,1636,Summer,530.53
4,Flat,2067,Summer,1591.19
2,Flat,1889,Winter,127.99
2,Flat,1725,Summer,2608.4
2,House,1576,Summer,768.67
2,Flat,1919,Winter,124.05
1,Flat,784,Summer,5277.24
5,House,419,Rainy,2359.38
6,Flat,654,Summer,588.42
5,House,2249,Winter,154.61
2,Flat,2327,Summer,98.87
4,House,768,Summer,5005.19
5,Flat,1173,Winter,1973.54
1,House,1999,Summer,2372.94
5,House,2347,Winter,529.81
5,Flat,376,Winter,599.9
2,Flat,418,Summer,1285.9
3,House,2398,Summer,10678.59
3,Flat,1188,Summer,614.63
2,House,2175,Rainy,1747.0
6,Flat,1104,Summer,1618.56
4,House,406,Winter,2802.44
4,House,736,Rainy,4245.05
3,Flat,664,Summer,4424.62
3,Flat,2061,Summer,1387.68
5,House,1413,Summer,774.83
3,House,708,Summer,8067.31
2,Flat,616,Rainy,3123.35
1,Flat,2389,Winter,1011.99
4,House,1842,Winter,603.91
3,Flat,1776,Rainy,420.26
4,Flat,2364,Rainy,2742.37
4,Flat,1217,Summer,4176.95
6,Flat,828,Winter,1330.6
5,Flat,1646,Winter,1318.0
6,Flat,2130,Rainy,1489.83
6,House,2357,Winter,2806.73
1,Flat,2180,Rainy,1167.98
2,House,1931,Winter,1865.83
4,Flat,1760,Summer,7470.53
5,Flat,2133,Summer,7942.69
2,Flat,1183,Winter,868.88
6,Flat,323,Winter,2294.18
6,Flat,1875,Summer,3566.37
5,House,868,Winter,6402.73
2,House,2173,Winter,610.66
6,Flat,666,Summer,5314.77
1,Flat,822,Summer,1014.11
5,Flat,1255,Winter,2597.79
4,Flat,969,Rainy,513.58
3,Flat,559,Rainy,4624.06
5,House,2042,Rainy,2427.23
4,Flat,323,Winter,3363.05
4,House,1289,Winter,1857.8
6,Flat,2146,Summer,2832.22
1,Flat,1444,Rainy,3913.2
5,House,515,Winter,1227.71
2,Flat,2318,Rainy,1103.35
6,House,1146,Summer,3500.42
3,Flat,1313,Winter,878.38
3,Flat,1329,Summer,1751.5
3,Flat,2470,Summer,841.44
4,House,1085,Winter,1385.43
6,Flat,1235,Summer,832.11
3,Flat,419,Rainy,2137.59
1,House,1206,Rainy,383.0
2,House,2240,Summer,3600.05
3,House,1261,Summer,5249.63
5,Flat,1656,Winter,286.7
3,House,2431,Rainy,1313.44
3,House,1672,Winter,1937.35
2,House,402,Winter,161.38
1,House,1101,Winter,995.75
6,House,1845,Summer,7681.98
2,Flat,1675,Summer,3122.66
2,House,1381,Winter,168.92
1,Flat,686,Winter,847.8
4,Flat,811,Winter,963.0
6,House,1593,Rainy,4697.36
6,Flat,960,Summer,830.81
3,House,622,Rainy,2436.98
2,Flat,1574,Summer,559.07
3,Flat,836,Rainy,3835.02
3,Flat,2382,Rainy,93.68
5,Flat,2370,Winter,228.13
5,Flat,1007,Summer,4697.0
5,Flat,1292,Winter,1084.03
1,House,2198,Winter,543.2
2,Flat,532,Winter,2483.13
5,House,1087,Summer,1331.24
1,House,319,Rainy,4734.12
3,Flat,1990,Winter,2716.46
2,House,805,Winter,466.43
1,Flat,2209,Summer,2189.45
5,Flat,2339,Summer,9840.17
6,House,2315,Winter,4569.29
2,House,643,Summer,6904.04
3,Flat,2137,Summer,2550.64
5,Flat,1515,Summer,4213.69
1,House,2075,Summer,1063.49
2,House,2066,Summer,7200.59
3,Flat,1492,Winter,1131.97
4,House,353,Summer,298.28
4,House,1767,Summer,1496.04
1,Flat,2483,Summer,357.77
3,Flat,2278,Rainy,972.71
3,House,1408,Rainy,419.47
4,Flat,1034,Rainy,4680.62
1,Flat,2273,Winter,149.66
2,House,1432,Winter,680.14
6,Flat,768,Summer,1230.19
6,Flat,866,Summer,3842.92
1,House,2346,Winter,2518.98
1,House,1390,Winter,535.48
1,Flat,373,Rainy,425.39
5,House,1575,Summer,1663.12
3,Flat,2093,Winter,374.49
3,House,2153,Rainy,4733.66
2,House,1225,Summer,2062.55
6,House,1611,Winter,697.49
5,House,1711,Winter,1415.1
2,Flat,1292,Rainy,1180.64
3,House,1586,Rainy,1885.75
2,Flat,1751,Winter,185.86
5,Flat,1708,Rainy,1083.38
6,Flat,409,Rainy,1765.75
4,House,2118,Rainy,260.1
4,House,1809,Winter,2322.86
5,Flat,728,Summer,1105.57
6,Flat,2422,Summer,4311.82
5,House,1052,Summer,4259.24
4,Flat,2070,Summer,322.89
1,Flat,1762,Summer,510.78
2,Flat,1551,Rainy,3063.28
1,House,472,Winter,2190.17
1,Flat,525,Summer,2983.19
6,Flat,1655,Winter,497.98
6,House,2268,Winter,309.31
6,Flat,1659,Summer,3913.4
4,Flat,595,Summer,479.45
2,House,565,Winter,1412.45
3,House,2136,Rainy,1457.61
4,Flat,2310,Winter,679.03
5,House,2422,Summer,1946.54
6,House,1984,Rainy,7239.31
1,Flat,1358,Winter,973.5
3,Flat,2144,Rainy,4678.79
5,Flat,372,Summer,759.79
5,House,2445,Rainy,3833.33
2,Flat,1756,Summer,3490.53
6,House,1047,Summer,3357.22
1,House,545,Rainy,1219.01
1,House,1542,Rainy,806.34
3,House,2438,Rainy,2865.22
1,Flat,932,Rainy,785.35
6,House,1516,Rainy,3958.83
4,Flat,1353,Rainy,300.35
6,House,869,Winter,1385.47
4,House,2154,Rainy,2852.19
5,Flat,2114,Rainy,4921.25
5,House,382,Winter,280.33
5,House,1539,Summer,7592.52
6,House,1143,Rainy,538.01
2,Flat,1269,Summer,2491.5
5,Flat,2256,Rainy,3703.7
2,Flat,2257,Rainy,900.63
5,Flat,1102,Summer,4411.18
4,Flat,1971,Rainy,5627.28
5,House,1057,Winter,727.13
2,House,892,Winter,1115.72
1,House,924,Summer,1240.74
2,Flat,1873,Rainy,557.12
2,Flat,2395,Rainy,654.33
6,Flat,2003,Rainy,4715.92
2,Flat,970,Summer,524.02
1,Flat,302,Rainy,376.61
6,Flat,2042,Rainy,2383.77
3,Flat,1562,Rainy,2771.93
2,Flat,1005,Rainy,5334.4
1,Flat,1067,Rainy,2694.91
5,House,2297,Summer,1457.16
4,House,1242,Winter,1977.92
1,House,552,Winter,1642.35
2,House,1531,Summer,14400.78
5,House,1020,Summer,1543.99
1,Flat,1958,Rainy,2319.6
2,Flat,2420,Winter,1417.76
3,Flat,1063,Rainy,604.17
6,Flat,2282,Summer,203.35
4,House,1561,Winter,4315.94
3,Flat,1577,Rainy,1002.44
1,House,2280,Summer,2470.79
6,House,2073,Rainy,4759.17
1,House,1837,Summer,2824.61
4,House,477,Summer,6905.56
1,Flat,1619,Summer,348.2
3,House,1792,Winter,502.55
2,Flat,1870,Summer,3020.34
2,House,1496,Summer,1158.81
2,Flat,1757,Winter,547.94
5,Flat,1009,Rainy,1361.61
5,Flat,871,Rainy,914.33
1,House,1067,Rainy,1562.24
1,Flat,2121,Rainy,81.72
5,House,2114,Rainy,2144.63
6,Flat,763,Winter,408.09
2,Flat,2281,Winter,378.04
6,Flat,477,Rainy,841.08
4,Flat,1435,Rainy,1540.3
1,House,2450,Winter,1100.13
6,House,1629,Summer,177.52
2,House,1284,Summer,2790.78
2,House,1700,Summer,4032.22
4,House,2381,Summer,3539.62
5,House,1934,Rainy,2288.84
5,House,1866,Summer,1374.34
6,Flat,1139,Rainy,367.65
1,Flat,1810,Winter,1438.9
1,House,2230,Rainy,3112.16
3,Flat,2178,Rainy,716.13
3,Flat,312,Winter,2647.47
3,House,1143,Rainy,534.44
3,Flat,1935,Summer,1337.3
3,House,2451,Summer,1073.95
4,House,805,Winter,3513.67
2,House,2414,Rainy,1780.36
3,Flat,1050,Summer,483.0
4,House,1525,Rainy,6122.31
1,Flat,786,Rainy,2642.11
4,House,697,Summer,764.15
1,House,1599,Summer,1678.84
4,House,1095,Summer,2507.88
3,Flat,719,Rainy,860.34
6,House,1627,Rainy,1689.11
6,Flat,1580,Rainy,2841.85
5,Flat,1877,Summer,1439.57
4,Flat,2273,Summer,1916.88
1,House,1471,Summer,356.12
2,House,1685,Rainy,1055.65
3,House,1896,Winter,3375.41
5,House,553,Rainy,854.87
5,House,484,Rainy,2969.31
3,House,1381,Rainy,2594.81
5,House,1749,Rainy,393.27
6,Flat,565,Rainy,694.73
3,House,2196,Winter,3204.86
4,House,2322,Rainy,5062.22
2,Flat,2481,Summer,2972.41
3,Flat,1839,Winter,4125.04
4,House,1874,Rainy,3748.6
3,Flat,2136,Winter,440.43
2,House,674,Summer,1829.69
6,House,2460,Summer,2017.5
4,Flat,1181,Rainy,793.34
5,House,649,Winter,2757.36
4,House,1416,Summer,1054.06
4,Flat,753,Rainy,2016.08
2,Flat,1505,Rainy,2096.6
6,House,1472,Summer,1273.91
1,House,870,Winter,638.15
1,Flat,1628,Summer,3625.93
2,Flat,1186,Rainy,471.62
6,Flat,2270,Winter,865.64
4,House,1685,Summer,2959.27
6,House,1661,Winter,146.56
6,House,1669,Winter,1229.53
1,Flat,865,Rainy,5229.38
6,House,1322,Winter,5755.98
1,Flat,1056,Rainy,419.65
5,Flat,485,Summer,4001.44
5,Flat,1075,Rainy,3492.52
4,Flat,1054,Summer,4478.55
6,Flat,2332,Summer,5820.14
2,House,1302,Winter,281.98
2,Flat,636,Summer,3575.37
5,House,1617,Rainy,1696.06
3,House,516,Summer,5071.13
6,House,1378,Summer,6736.36
2,House,2154,Summer,3069.42
4,House,2249,Rainy,2991.9
5,Flat,2343,Winter,1904.17
4,House,1370,Summer,4055.01
3,House,2043,Rainy,1387.37
6,House,499,Winter,3482.45
6,Flat,2312,Summer,6862.03
3,Flat,2270,Rainy,1751.55
1,House,593,Winter,603.55
5,Flat,512,Summer,4468.86
1,Flat,326,Rainy,1044.47
5,Flat,1217,Winter,774.29
3,House,1759,Rainy,399.75
6,Flat,1540,Summer,2066.21
2,House,1250,Rainy,4716.81
1,Flat,1303,Winter,321.18
4,House,1632,Rainy,748.51
6,House,1993,Winter,2683.33
1,House,970,Rainy,1414.22
5,House,2291,Summer,5271.74
2,House,2086,Summer,5522.79
1,House,2275,Summer,4764.14
2,Flat,1268,Summer,1527.66
5,House,1906,Rainy,4614.2
2,Flat,925,Winter,400.23
3,House,1174,Summer,6499.24
6,Flat,1585,Rainy,7494.5
2,Flat,1676,Rainy,1622.23
4,House,2384,Winter,155.26
3,Flat,334,Rainy,1521.11
4,Flat,1169,Winter,1578.86
6,Flat,731,Winter,555.57
2,Flat,832,Summer,784.02
2,House,2432,Rainy,6469.37
5,House,390,Summer,3880.82
4,Flat,1596,Winter,1017.02
2,Flat,1751,Rainy,679.79
3,House,1084,Summer,1921.72
6,Flat,1422,Winter,314.23
2,Flat,1915,Winter,473.77
6,House,1291,Rainy,351.59
6,Flat,1424,Summer,6011.89
5,House,783,Winter,5023.51
3,Flat,743,Summer,3941.98
6,House,1058,Summer,3325.05
6,House,404,Summer,5073.99
2,Flat,2493,Rainy,3017.58
2,House,1884,Rainy,2884.07
1,Flat,2229,Summer,2858.66
1,House,1942,Rainy,2179.67
2,House,1813,Summer,2776.7
3,Flat,875,Rainy,3198.58
1,House,2023,Winter,395.82
3,House,1740,Rainy,684.2
4,Flat,308,Winter,1104.27
3,Flat,778,Rainy,2958.79
4,Flat,577,Rainy,3368.83
4,House,1875,Summer,9346.59
4,Flat,2293,Rainy,7016.78
5,House,596,Rainy,1322.07
6,Flat,590,Summer,8869.83
3,Flat,1582,Rainy,691.34
1,Flat,2122,Rainy,3262.45
4,House,2228,Winter,3941.49
2,House,2398,Rainy,5313.4
5,House,828,Summer,5195.79
5,House,1541,Winter,1195.59
2,Flat,1488,Rainy,3268.88
2,Flat,1847,Rainy,1363.91
3,Flat,1098,Summer,1957.61
3,Flat,2024,Winter,388.1
4,House,2274,Rainy,841.03
6,House,1278,Winter,3755.67
6,Flat,1690,Summer,5262.08
5,House,696,Winter,1278.74
4,House,712,Summer,2655.03
4,House,1995,Rainy,472.66
6,House,1437,Summer,853.69
1,House,750,Rainy,4233.57
6,House,1365,Summer,415.72
1,House,1443,Rainy,1028.74
4,House,1670,Summer,1300.96
3,House,736,Summer,3627.57
6,House,1664,Winter,1774.38
4,Flat,1048,Rainy,3541.53
2,Flat,2013,Summer,3310.68
6,House,525,Winter,4121.65
2,Flat,1827,Winter,283.16
6,Flat,2439,Winter,419.69
3,House,983,Summer,2874.1
3,House,1557,Rainy,1223.61
4,House,1842,Winter,4028.77
2,Flat,1487,Winter,1770.63
3,House,1959,Winter,977.19
4,House,612,Rainy,802.47
3,House,1946,Summer,554.68
2,Flat,1417,Rainy,1161.57
3,House,2493,Winter,791.55
2,House,1744,Rainy,1822.93
4,Flat,2319,Summer,70.85
1,House,1047,Summer,3688.4
6,Flat,1805,Rainy,3967.04
1,House,768,Winter,714.12
1,House,941,Winter,2649.13
6,House,1379,Winter,480.89
1,House,2413,Winter,731.36
1,House,1489,Rainy,1330.42
5,Flat,1838,Summer,362.75
3,Flat,1964,Winter,490.09
2,Flat,1215,Rainy,2429.69
2,Flat,1921,Rainy,5553.49
6,House,2420,Winter,2409.51
1,House,1041,Summer,103.4
6,Flat,2222,Rainy,1820.9
5,Flat,748,Winter,1615.79
6,Flat,2426,Winter,488.42
5,House,2498,Rainy,5208.47
6,House,1656,Winter,3295.92
5,Flat,315,Rainy,3778.36
5,House,2180,Winter,1021.73
6,House,1386,Summer,1220.77
5,House,1375,Rainy,1500.91
2,Flat,521,Rainy,1106.8
2,Flat,1440,Rainy,601.06
5,Flat,1295,Summer,724.13
6,House,1087,Summer,1496.6
2,House,818,Winter,544.46
6,House,1927,Winter,3645.69
6,Flat,398,Winter,759.01
4,House,411,Summer,8242.02
5,Flat,2249,Rainy,216.79
5,House,506,Rainy,3788.62
5,House,685,Rainy,2324.17
1,Flat,529,Summer,1747.43
1,Flat,2227,Summer,2402.97
6,House,876,Winter,194.55
1,Flat,1714,Winter,1027.15
4,Flat,420,Summer,5411.63
3,Flat,530,Summer,882.55
1,Flat,2367,Rainy,2555.15
4,Flat,1091,Winter,475.22
1,House,814,Summer,3651.18
2,House,1222,Summer,603.8
5,House,505,Winter,3302.43
3,House,1779,Rainy,3689.26
3,House,1442,Winter,542.34
5,House,1927,Rainy,3577.78
1,House,889,Winter,622.66
4,House,1579,Winter,846.24
4,House,967,Rainy,1743.6
2,House,1635,Summer,1187.83
2,Flat,1622,Winter,4044.7
5,House,785,Rainy,465.19
2,House,2063,Summer,333.36
2,Flat,2125,Rainy,2139.98
2,House,1470,Rainy,2163.04
4,Flat,513,Summer,9927.66
2,House,685,Summer,1921.1
1,Flat,1783,Summer,890.72
6,Flat,1182,Winter,708.58
4,House,2260,Rainy,392.48
4,Flat,2413,Rainy,1980.18
2,Flat,1060,Rainy,1332.5
6,House,843,Summer,8330.9
3,House,1578,Summer,2932.84
4,House,1704,Rainy,686.93
4,House,1964,Winter,531.59
2,House,1026,Rainy,252.37
5,Flat,1164,Summer,5168.72
1,House,1763,Rainy,1965.16
4,House,374,Summer,6898.3
3,House,2260,Rainy,2901.2
1,Flat,2443,Rainy,2255.65
3,House,922,Summer,8401.67
4,House,2224,Winter,4741.64
6,House,1109,Winter,1829.17
2,Flat,1707,Winter,1432.06
2,House,1196,Rainy,1825.02
2,House,819,Summer,2291.06
3,House,948,Summer,8584.48
3,House,2070,Summer,3441.92
4,Flat,1096,Rainy,1230.05
5,Flat,424,Rainy,1467.43
1,House,2489,Winter,826.76
2,Flat,2270,Summer,753.32
1,House,1769,Winter,846.21
3,Flat,1730,Winter,1478.37
5,House,2290,Rainy,2100.61
2,House,2271,Winter,862.53
1,Flat,1943,Winter,1483.07
1,Flat,1118,Winter,777.21
3,House,1293,Summer,4661.51
5,Flat,682,Rainy,810.94
2,House,2300,Rainy,358.81
2,House,1397,Summer,2053.3
1,House,330,Summer,435.19
4,Flat,1022,Winter,1186.4
3,House,1362,Winter,5981.58
2,Flat,359,Rainy,6273.34
5,Flat,965,Rainy,3294.23
4,Flat,502,Winter,399.92
6,Flat,426,Summer,5248.72
1,House,2303,Summer,2577.54
3,House,1672,Rainy,5586.78
6,Flat,2389,Winter,3859.86
5,House,313,Rainy,329.92
3,Flat,2152,Summer,5123.21
2,House,2233,Rainy,1215.75
4,Flat,1367,Winter,1279.9
1,House,1819,Winter,1004.45
1,House,2360,Rainy,1337.67
3,Flat,1532,Summer,3154.49
5,House,1463,Rainy,1092.21
4,House,2357,Summer,4032.22
6,House,1125,Winter,550.19
1,Flat,1468,Winter,577.75
2,Flat,1908,Summer,333.38
5,House,367,Summer,1915.5
4,Flat,1527,Rainy,1536.29
4,House,2384,Rainy,1031.36
6,Flat,1823,Summer,10822.44
5,Flat,455,Summer,1698.22
5,Flat,597,Summer,7048.85
5,Flat,1801,Summer,3346.79
1,Flat,2425,Rainy,2844.17
6,Flat,743,Rainy,449.06
3,Flat,2071,Summer,6863.6
1,House,1743,Winter,303.96
6,Flat,1203,Winter,1255.99
1,House,1301,Summer,460.75
2,Flat,2263,Summer,187.18
3,Flat,800,Summer,977.78
4,Flat,1315,Summer,3654.01
4,Flat,1017,Winter,229.25
1,House,1760,Summer,6772.56
1,House,1193,Winter,1061.86
5,House,2077,Summer,1285.82
2,Flat,1752,Summer,3058.53
6,House,1793,Winter,1192.05
6,Flat,458,Summer,424.25
6,Flat,1387,Winter,2071.57
3,House,1832,Winter,890.46
2,Flat,425,Rainy,1643.94
2,Flat,1488,Summer,1701.89
1,Flat,622,Winter,563.31
2,Flat,1888,Summer,1416.34
4,House,2070,Winter,3079.16
4,House,1249,Summer,2979.5
1,Flat,635,Winter,267.79
6,House,513,Summer,466.12
4,House,1808,Winter,4391.63
3,House,901,Summer,1749.64
4,House,1233,Rainy,5060.48
4,Flat,490,Summer,3477.52
4,House,1646,Rainy,1055.22
4,Flat,1256,Summer,5104.37
1,Flat,558,Winter,1044.32
4,House,575,Rainy,1841.83
1,House,1581,Summer,2034.8
1,Flat,590,Rainy,2816.74
3,House,2218,Rainy,611.07
5,House,1216,Rainy,110.86
6,Flat,1195,Summer,781.05
4,Flat,368,Summer,1580.63
4,Flat,2498,Summer,5541.71
6,House,776,Rainy,2024.95
1,Flat,943,Rainy,2419.71
3,Flat,1497,Winter,139.49
1,Flat,1428,Rainy,3040.37
6,House,432,Summer,4580.57
6,Flat,1895,Rainy,336.92
5,Flat,2292,Summer,2198.07
5,House,1999,Winter,1619.64
5,Flat,1318,Rainy,1945.14
6,House,1702,Rainy,936.81
5,House,748,Summer,3404.54
2,Flat,1686,Summer,11784.16
2,Flat,1699,Summer,1001.05
6,Flat,1364,Summer,6448.85
4,House,1413,Rainy,503.38
4,Flat,1157,Rainy,569.21
5,Flat,2308,Summer,4289.43
3,House,909,Summer,1762.81
6,House,1764,Winter,2357.8
2,House,1360,Rainy,4687.77
2,House,2017,Rainy,262.8
2,Flat,1824,Winter,2058.83
4,House,1015,Summer,13459.47
3,Flat,1501,Winter,340.47
6,House,1426,Rainy,3064.67
1,House,1121,Rainy,2306.1
6,House,637,Winter,1259.58
3,House,1767,Summer,9941.88
2,Flat,821,Winter,376.09
1,Flat,1068,Winter,1245.73
3,House,1765,Winter,401.88
6,House,519,Rainy,4483.19
2,Flat,1008,Summer,6466.64
5,Flat,1942,Winter,1658.78
5,Flat,631,Winter,1856.17
2,Flat,1765,Summer,534.75
5,House,759,Rainy,5898.43
1,House,2043,Rainy,590.34
1,House,1728,Rainy,1577.21
4,House,2456,Summer,6886.86
5,House,1130,Winter,1309.47
5,House,2191,Summer,968.38
5,House,2054,Rainy,161.55
5,Flat,923,Summer,3714.7
2,Flat,915,Summer,1367.02
6,Flat,1995,Rainy,5601.02
5,House,1845,Winter,320.09
6,House,319,Summer,3718.62
